track_id,phase,Total Distance (km),Total Time (Hours),Mean Speed (m/s),Region,Season
20040081,decay 2,95.84117734354578,2.0,13.311274631048024,Total,Total
20040081,incipient,163.93628912393154,5.0,9.107571617996197,Total,Total
20040081,intensification,539.8220316369765,27.0,5.553724605318688,Total,Total
20040081,mature,486.0072776482729,22.0,6.136455525862032,Total,Total
20040081,residual,337.1084937972528,15.0,6.242749885134312,Total,Total
20040082,decay,415.60148407573695,14.0,8.246061191978908,Total,Total
20040082,incipient,36.32132758546589,1.0,10.089257662629414,Total,Total
20040082,intensification,503.5689057266336,9.0,15.542250176747949,Total,Total
20040082,mature,315.14586120578554,4.0,21.88512925040177,Total,Total
20040082,residual,764.4937963048659,15.0,14.157292524164184,Total,Total
20040083,decay,12937.164548535098,168.0,21.3908143990329,Total,Total
20040083,decay 2,641.3571499643168,12.0,14.846230323248076,Total,Total
20040083,incipient,376.88756903724345,5.0,20.93819827984686,Total,Total
20040083,intensification,7171.941162717108,78.0,25.541101006827308,Total,Total
20040083,mature,4594.306659366592,54.0,23.633264708675885,Total,Total
20040083,residual,955.6971642966716,15.0,17.698095635123547,Total,Total
20040084,decay,1512.3784248381703,22.0,19.09568718230013,Total,Total
20040084,mature,336.7466429609186,8.0,11.692591769476342,Total,Total
20040084,residual,213.2476705670591,5.0,11.847092809281062,Total,Total
